Feature ID	Taxon	Confidence
bb3d0081c6167423b7927a1c9a259da4	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Beijerinckiaceae; g__Methylobacterium	0.9998360663101242
a1388f507d92c3049c1380abf8066095	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A	0.9999935817344979
9d82f1b01955e9ba057ab1cee05fbd88	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__Brevundimonas diminuta	0.8372639053069202
a15dc66440ad3966423d29a4b5c815a5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_502138; f__Devosiaceae; g__Devosia_A_502124; s__	0.8044119001144344
ff7b004e195f8c05ad5120d31e5712a8	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_C	0.8803845590030589
0e8d45eb829611994a97a34d986e706e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595422; f__Burkholderiaceae_A_595422; g__Achromobacter; s__Achromobacter denitrificans_593100	0.9954938648855729
d05fe3eb34fa787a2dc9c235f628ffc9	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Bacillus_P_294101; s__Bacillus_P_294101 spizizenii_291092	0.7866560237544009
893e42e60496d596eb6ef37b3c7f9af1	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__NBRC-103111; g__Paenibacillus_G_363720	0.9653836654507135
d34969dd9ef7cbe0c16b8a3728c300d4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595422; f__Burkholderiaceae_A_595422; g__Achromobacter; s__Achromobacter denitrificans_593100	0.9241772356767278
eec9152a041e59ed4ee4bebb30c86ccb	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulosimicrobium	0.9246829334390183
36cb9897629de4f6c62644cbabaa1dfe	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_C	0.9991125803597037
316fad1eeee8d5db0caa9185e651064d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Hafnia	0.9907170487871574
ca70e2b26b5b38db7e24baf45203c302	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501396; f__Rhizobiaceae_A_499470	0.9927484771670698
cb8bc1d1a42237a572f835e3bef968c0	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_J_366884	0.9999236600809546
33a6abb28fc397acb9d0c2a09eb20cca	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium	0.9998523516915073
f05828f8739c31db863cda77a1c2540e	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae	0.9999734661353186
7ecd95572cfa5e381417b7e71d08d7c5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Xanthobacteraceae_503485	0.9991147575129378
ce307605ca2fc97921fd1c0e2b77aed6	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae	0.9999891963026174
f6677c271218a07cfb5930e1eda2aa98	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Hafnia; s__	0.7526114622954357
18edd1de9a732882d709148aa01e2919	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A	0.9999972196663345
0ceb83cb109c1f4f8f53d5b45c8f4a92	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae	0.999994141271348
c5b876d045144d6bca8de648eab9a3c3	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium	0.999994669024876
eb34eefa18205234cf11e22b528d1216	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444	0.9999854501064922
35ac88f646505b1230d71b3316c06238	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Solirubrum_909958	0.9923357707744329
07919a0199c67aeb6a4310acd5937719	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444	0.9999817303910271
9139e284b390398d7525ec7d6f193d31	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium	0.9999945375421945
9fe55191310c90d81d06c5408d81eabc	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501396; f__Rhizobiaceae_A_499470	0.9157354390093418
1ddd210d4e3ecbc1e2ffc119032915cf	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444	0.9999828254924147
cd560e6d40f6e200dc5d001712baf5c8	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium_A_383184	0.8012614167077579
895b219e500302d38fe8fa1d7b64dd00	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium_A_383184	0.7880839045997469
5a4a3a270c8c888afb5b8a8ce9c2e0cf	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_C	0.8555492763828875
c83b59d183b71fad62fb246f2617f7b9	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__NBRC-103111; g__Paenibacillus_G_363720	0.9686664631692021
9bde0cf2932aeddd087cd932b0f68253	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Brevibacillales; f__Brevibacillaceae; g__Brevibacillus_D	0.9999171267894255
